numWins,teamNumber,nameShort,city,stateProv,country,homeCMP,year,region
1,5203,Volatile Chaos Inhibitors,Sanford,Michigan,USA,CMPTX,2022,Midwest
1,5204,Robocats,Three Rivers,Michigan,USA,CMPTX,2022,Midwest
1,5205,FullMetal-Jackets,Concord,Michigan,USA,CMPTX,2022,Midwest
1,5215,Steagles 5215,Frankenmuth,Michigan,USA,CMPTX,2022,Midwest
2,5216,E-Ville Empire,Essexville,Michigan,USA,CMPTX,2022,Midwest
1,5222,JackBotics,Saginaw,Michigan,USA,CMPTX,2022,Midwest
1,5231,Radical Jays,Shepherd,Michigan,USA,CMPTX,2022,Midwest
2,5232,Talons,Hermantown,Minnesota,USA,CMPTX,2022,Midwest
1,5247,Red Devil Robotics,East Jordan,Michigan,USA,CMPTX,2022,Midwest
1,5248,Robo-Saxons,Hastings,Michigan,USA,CMPTX,2022,Midwest
1,5265,Radical Impact,Portland,Maine,USA,CMPTX,2022,Northeast
1,5274,Wolverines,Sacramento,California,USA,CMPTX,2022,West
2,5279,Bionic Eagles,Altavista,Virginia,USA,CMPTX,2022,South
1,5320,Cyber Hornets,Lorenzo,Texas,USA,,2015,South
3,5401,Fightin' Robotic Owls,Bensalem,Pennsylvania,USA,CMPTX,2022,Northeast
1,5404,Gearaffes,Lansdale,Pennsylvania,USA,CMPTX,2022,Northeast
3,5407,Wolfpack Robotics,Conshohocken,Pennsylvania,USA,CMPTX,2022,Northeast
1,5414,Pearadox,Pearland,Texas,USA,CMPTX,2022,South
1,5417,Eagle Robotics,Allen,Texas,USA,CMPTX,2022,South
1,5419,Berkelium,Berkeley,California,USA,CMPTX,2022,West
1,5420,Velocity,Bridgeton,New Jersey,USA,CMPTX,2022,Northeast
1,5422,Stormgears FRC,Westford,Massachusetts,USA,CMPTX,2022,Northeast
1,5427,Steel Talons,Katy,Texas,USA,CMPTX,2022,South
1,5431,Titan Robotics ,Plano,Texas,USA,CMPTX,2022,South
1,5434,Falcon Robotics,Faribault,Minnesota,USA,CMPTX,2022,Midwest
1,5436,Cyber Cats,Rochester,Michigan,USA,CMPTX,2022,Midwest
1,5442,Mechanical Monarchy,Washington,Illinois,USA,CMPTX,2022,Midwest
1,5450,SHREC 5450,Saint Helens,Oregon,USA,CMPTX,2022,West
1,5454,Obsidian,Bentonville,Arkansas,USA,CMPTX,2022,South
1,5457,Falcobots,Burlington,New Jersey,USA,CMPTX,2022,Northeast
2,5458,Digital Minds,Woodland,California,USA,CMPTX,2022,West
7,5460,Strike Zone,Lapeer,Michigan,USA,CMPTX,2022,Midwest
1,5462,2PawR (2PawRobotics),Paw Paw,Michigan,USA,CMPTX,2022,Midwest
1,5464,Bluejacket Robotics,Cambridge,Minnesota,USA,CMPTX,2022,Midwest
1,5467,RoboTractors,Dearborn,Michigan,USA,CMPTX,2022,Midwest
2,5468,Chaos Theory,Bend,Oregon,USA,CMPTX,2022,West
1,5472,Stallion Robotics: The Wyld Stallyns,Delray Beach,Florida,USA,CMPTX,2022,South
1,5478,Pershing Doughbots,Detroit,Michigan,USA,CMPTX,2022,Midwest
3,5484,Career Academy Robotics - Wolf Pack,South Bend,Indiana,USA,CMPTX,2022,Midwest
4,5499,The Bay Orangutans,Berkeley,California,USA,CMPTX,2022,West
2,5501,Bobcats,Burr Oak,Michigan,USA,CMPTX,2022,Midwest
1,5502,Cobrots,Jonesville,Michigan,USA,CMPTX,2022,Midwest
1,5503,Smithville Tiger Trons,Smithville,Texas,USA,CMPTX,2022,South
1,5504,The Loose Connections,Pinconning ,Michigan,USA,CMPTX,2022,Midwest
4,5505,V2 - Volts Squared,Alpena,Michigan,USA,CMPTX,2022,Midwest
2,5509,Like a Boss,Midland,Michigan,USA,CMPTX,2022,Midwest
4,5511,Cortechs Robotics,Cary,North Carolina,USA,CMPTX,2022,South
1,5518,Techno Wolves,Apex,North Carolina,USA,CMPTX,2022,South
1,5524,MacroProcessors ,Birch Run,Michigan,USA,CMPTX,2022,Midwest
1,5530,The Greenhills Lawnmowers,Ann Arbor,Michigan,USA,CMPTX,2022,Midwest
1,5538,Vikingbots,Saginaw,Michigan,USA,CMPTX,2022,Midwest
1,5544,SWIFT Robotics,Vass,North Carolina,USA,CMPTX,2022,South
1,5546,⚒️ A.R.T. ⚒️,Petersburg,Virginia,USA,CMPTX,2022,South
2,5547,The Talons,Hale,Michigan,USA,CMPTX,2022,Midwest
2,5555,Spartans,Warren,Michigan,USA,CMPTX,2022,Midwest
1,5556,Carriagetown Robotics,Amesbury,Massachusetts,USA,CMPTX,2022,Northeast
